,time,action,sideWithBall,lenOfNearest,nearestPlayer,lenOfMiddleDist,middleDistPlayer,passPair,goalIsNearest
1858,3235,dribbling,R,1,['R8'],4,"['L6', 'L7', 'R6', 'R8']",,False
1859,3236,dribbling,R,1,['R8'],4,"['L6', 'L7', 'R6', 'R8']",,False
1860,3237,dribbling,R,1,['R8'],4,"['L6', 'L7', 'R6', 'R8']",,False
1861,3238,dribbling,R,1,['R8'],4,"['L6', 'L7', 'R6', 'R8']",,False
1862,3239,dribbling,R,1,['R8'],4,"['L6', 'L7', 'R6', 'R8']",,False
1863,3240,dribbling,R,1,['R8'],4,"['L6', 'L7', 'R6', 'R8']",,False
1864,3241,searching,,0,[],5,"['L6', 'L7', 'R6', 'R8', 'R11']",,False
1865,3242,searching,,0,[],6,"['L4', 'L6', 'L7', 'R6', 'R8', 'R11']",,False
1866,3243,searching,,0,[],7,"['L2', 'L4', 'L6', 'L7', 'R6', 'R8', 'R11']",,False
1867,3244,searching,,0,[],5,"['L2', 'L4', 'L6', 'R8', 'R11']",,False
1868,3245,searching,,0,[],4,"['L2', 'L4', 'L6', 'R11']",,False
1869,3246,searching,,0,[],4,"['L2', 'L4', 'L6', 'R11']",,False
1870,3247,searching,,0,[],4,"['L2', 'L4', 'L6', 'R11']",,False
1871,3248,searching,,0,[],5,"['L2', 'L4', 'L6', 'R10', 'R11']",,False
1872,3249,dribbling,L,1,['L2'],4,"['L2', 'L4', 'R10', 'R11']",,False
1873,3250,dribbling,L,1,['L2'],5,"['L2', 'L4', 'L6', 'R10', 'R11']",,False
1874,3251,dribbling,L,1,['L2'],5,"['L2', 'L4', 'L6', 'R10', 'R11']",,False
1875,3252,dribbling,L,1,['L2'],5,"['L2', 'L4', 'L6', 'R10', 'R11']",,False
1876,3253,searching,,0,[],5,"['L2', 'L4', 'L6', 'R10', 'R11']",,False
1877,3254,searching,,0,[],6,"['L2', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
1878,3255,dribbling,L,1,['L2'],7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
1879,3256,dribbling,L,1,['L2'],7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
1880,3257,dribbling,L,1,['L2'],7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
1881,3258,dribbling,L,1,['L2'],7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
1882,3259,passing,L,2,"['L2', 'R11']",7,"['L2', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']","['L2', 'L4', 'L']",False
1883,3260,dribbling,R,1,['R11'],8,"['L2', 'L3', 'L4', 'L6', 'R6', 'R8', 'R10', 'R11']",,False
1884,3261,searching,,0,[],7,"['L2', 'L3', 'L4', 'L6', 'R8', 'R10', 'R11']",,False
1885,3262,searching,,0,[],6,"['L2', 'L3', 'L4', 'L6', 'R10', 'R11']",,False
1886,3263,searching,,0,[],5,"['L2', 'L3', 'L4', 'R10', 'R11']",,False
1887,3264,dribbling,L,1,['L4'],3,"['L2', 'L4', 'R10']",,False
1888,3265,dribbling,L,1,['L4'],5,"['L2', 'L3', 'L4', 'R10', 'R11']",,False
1889,3266,dribbling,L,1,['L4'],5,"['L2', 'L3', 'L4', 'R10', 'R11']",,False
1890,3267,passing,L,1,['L4'],5,"['L2', 'L3', 'L4', 'L6', 'R10']","['L4', 'L3', 'L']",False
1891,3268,searching,,0,[],6,"['L2', 'L3', 'L4', 'L6', 'R10', 'R11']",,False
1892,3269,searching,,0,[],6,"['L2', 'L3', 'L4', 'L6', 'R10', 'R11']",,False
1893,3270,searching,,0,[],5,"['L2', 'L3', 'L4', 'L6', 'R11']",,False
1894,3271,searching,,0,[],5,"['L2', 'L3', 'L4', 'L6', 'R7']",,False
1895,3272,searching,,0,[],5,"['L2', 'L3', 'L4', 'L6', 'R7']",,False
1896,3273,dribbling,L,1,['L3'],5,"['L2', 'L3', 'L4', 'L6', 'R7']",,False
1897,3274,passing,L,1,['L3'],6,"['L2', 'L3', 'L4', 'L6', 'R7', 'R11']","['L3', 'L7', 'L']",False
1898,3275,passing,L,1,['L6'],8,"['L2', 'L3', 'L4', 'L6', 'R6', 'R7', 'R8', 'R11']","['L6', 'L7', 'L']",False
1899,3276,searching,,0,[],7,"['L2', 'L3', 'L6', 'R6', 'R7', 'R8', 'R11']",,False
1900,3277,searching,,0,[],8,"['L2', 'L3', 'L6', 'L7', 'R6', 'R7', 'R8', 'R11']",,False
1901,3278,searching,,0,[],7,"['L2', 'L6', 'L7', 'R6', 'R7', 'R8', 'R11']",,False
1902,3279,searching,,0,[],6,"['L6', 'L7', 'R6', 'R7', 'R8', 'R11']",,False
1903,3280,searching,,0,[],4,"['L6', 'L7', 'R6', 'R8']",,False
1904,3281,dribbling,L,1,['L7'],3,"['L7', 'R6', 'R8']",,False
1905,3282,passing,L,1,['L7'],2,"['L7', 'R6']","['L7', 'L9', 'L']",False
1906,3283,searching,,0,[],2,"['L7', 'R6']",,False
1907,3284,searching,,0,[],2,"['L7', 'R6']",,False
1908,3285,searching,,0,[],3,"['L7', 'L9', 'R6']",,False
1909,3286,searching,,0,[],3,"['L7', 'L9', 'R6']",,False
1910,3287,searching,,0,[],4,"['L7', 'L9', 'L11', 'R2']",,False
1911,3288,searching,,0,[],4,"['L7', 'L9', 'L11', 'R2']",,False
1912,3289,dribbling,L,1,['L9'],4,"['L7', 'L9', 'L11', 'R2']",,False
1913,3290,passing,L,1,['L9'],3,"['L9', 'L11', 'R2']","['L9', 'L11', 'L']",False
1914,3291,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
1915,3292,searching,,0,[],3,"['L9', 'L11', 'R2']",,False
1916,3293,dribbling,L,1,['L11'],3,"['L9', 'L11', 'R2']",,False
1917,3294,dribbling,L,1,['L11'],3,"['L9', 'L11', 'R2']",,False
1918,3295,dribbling,L,1,['L11'],3,"['L9', 'L11', 'R2']",,False
1919,3296,dribbling,L,1,['L11'],3,"['L9', 'L11', 'R2']",,False
1920,3297,dribbling,L,1,['L11'],3,"['L9', 'L11', 'R2']",,False
1921,3298,dribbling,L,1,['L11'],4,"['L9', 'L11', 'R2', 'R9']",,False
1922,3299,dribbling,L,1,['L11'],4,"['L9', 'L11', 'R2', 'R9']",,False
1923,3300,passing,L,1,['L11'],4,"['L9', 'L11', 'R2', 'R9']","['L11', 'L10', 'L']",False
1924,3301,searching,,0,[],6,"['L7', 'L9', 'L11', 'R2', 'R6', 'R9']",,False
1925,3302,searching,,0,[],6,"['L7', 'L9', 'L11', 'R2', 'R6', 'R9']",,False
1926,3303,searching,,0,[],7,"['L7', 'L9', 'L10', 'L11', 'R2', 'R3', 'R6']",,False
1927,3304,searching,,0,[],5,"['L7', 'L10', 'R2', 'R3', 'R6']",,False
1928,3305,searching,,0,[],5,"['L7', 'L10', 'R2', 'R3', 'R6']",,False
1929,3306,searching,,0,[],4,"['L7', 'L10', 'R3', 'R6']",,False
1930,3307,dribbling,L,1,['L10'],4,"['L7', 'L10', 'R3', 'R6']",,False
1931,3308,dribbling,L,1,['L10'],4,"['L7', 'L10', 'R3', 'R6']",,False
1932,3309,dribbling,L,1,['L10'],5,"['L7', 'L10', 'R3', 'R6', 'R8']",,False
1933,3310,dribbling,L,1,['L10'],6,"['L7', 'L8', 'L10', 'R3', 'R6', 'R8']",,False
1934,3311,dribbling,L,1,['L10'],6,"['L7', 'L8', 'L10', 'R3', 'R6', 'R8']",,False
1935,3312,passing,L,1,['L10'],6,"['L7', 'L8', 'L10', 'R3', 'R6', 'R8']","['L10', 'L8', 'L']",False
1936,3313,searching,,0,[],5,"['L8', 'L10', 'R3', 'R6', 'R8']",,False
1937,3314,searching,,0,[],5,"['L8', 'L10', 'R3', 'R5', 'R8']",,False
1938,3315,searching,,0,[],5,"['L8', 'L10', 'R3', 'R5', 'R8']",,False
1939,3316,dribbling,L,1,['L8'],5,"['L8', 'L10', 'R3', 'R5', 'R8']",,False
1940,3317,dribbling,L,1,['L8'],5,"['L8', 'L10', 'R3', 'R5', 'R8']",,False
1941,3318,dribbling,L,1,['L8'],5,"['L8', 'L10', 'R3', 'R5', 'R8']",,False
1942,3319,dribbling,L,1,['L8'],5,"['L8', 'L10', 'R3', 'R5', 'R8']",,False
1943,3320,dribbling,L,1,['L8'],6,"['L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
1944,3321,dribbling,L,1,['L8'],6,"['L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
1945,3322,searching,,2,"['L8', 'L10']",6,"['L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
1946,3323,searching,,2,"['L8', 'L10']",6,"['L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
1947,3324,searching,,2,"['L8', 'L10']",6,"['L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
1948,3325,dribbling,L,1,['L10'],6,"['L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
1949,3326,dribbling,L,1,['L10'],7,"['L7', 'L8', 'L10', 'R3', 'R5', 'R6', 'R8']",,False
